#Données de temps d'insertion, de recherche et de taux de charge sur une table de hachage.
#Taille_map	Insertion	Recherche	Charge
461 4.3921e-06 3.1156e-06 0.561361
462 3.75045e-06 3.4728e-06 0.562576
463 4.3445e-06 3.2864e-06 0.563791
464 4.0211e-06 3.801e-06 0.565006
465 4.2716e-06 2.3787e-06 0.566221
466 3.59785e-06 3.14265e-06 0.567436
467 3.65105e-06 3.49475e-06 0.568651
468 3.92095e-06 2.2162e-06 0.569866
469 3.3646e-06 3.45675e-06 0.571081
470 3.4625e-06 2.5824e-06 0.572297
471 3.47065e-06 2.2811e-06 0.573512
472 3.5921e-06 2.2392e-06 0.574727
473 3.57195e-06 2.5826e-06 0.575942
474 3.4805e-06 2.19445e-06 0.577157
475 3.9093e-06 2.1677e-06 0.578372
476 3.93715e-06 2.10865e-06 0.579587
477 3.3984e-06 2.2105e-06 0.580802
478 6.3382e-06 2.1741e-06 0.582017
479 3.33905e-06 2.18095e-06 0.583232
480 3.6734e-06 2.27565e-06 0.584447
481 4.1556e-06 2.6421e-06 0.585662
482 3.92415e-06 3.63535e-06 0.586877
483 3.4288e-06 2.1925e-06 0.588092
484 3.6678e-06 2.3353e-06 0.589307
485 3.52605e-06 2.0508e-06 0.590522
486 3.8411e-06 2.4265e-06 0.591738
487 3.3841e-06 2.4823e-06 0.592953
488 3.8886e-06 2.1851e-06 0.594168
489 3.43715e-06 2.34795e-06 0.595383
490 3.55105e-06 2.17625e-06 0.596598
491 3.64335e-06 2.32255e-06 0.597813
492 3.42875e-06 3.69555e-06 0.599028
493 3.4588e-06 2.8673e-06 0.600243
494 3.9672e-06 3.23075e-06 0.601458
495 4.20375e-06 3.5301e-06 0.602673
496 3.62505e-06 2.989e-06 0.603888
497 3.61255e-06 3.96e-06 0.605103
498 4.0045e-06 3.1698e-06 0.606318
499 3.33635e-06 2.5391e-06 0.607533
500 4.29065e-06 2.5219e-06 0.608748
501 3.53565e-06 2.6689e-06 0.609964
502 3.61175e-06 2.6444e-06 0.611179
503 3.41325e-06 2.4897e-06 0.612394
504 3.3538e-06 3.05055e-06 0.613609
505 3.45175e-06 2.54525e-06 0.614824
506 3.6756e-06 2.27255e-06 0.616039
507 3.5597e-06 3.83505e-06 0.617254
508 3.5209e-06 3.47265e-06 0.618469
509 3.1947e-06 3.3992e-06 0.619684
510 4.01895e-06 2.21065e-06 0.620899
511 3.93825e-06 2.37825e-06 0.622114
512 3.66295e-06 2.29985e-06 0.623329
513 3.6314e-06 3.74015e-06 0.624544
514 4.09575e-06 4.4045e-06 0.625759
515 3.7502e-06 3.52405e-06 0.626974
516 3.486e-06 2.3859e-06 0.62819
517 3.6735e-06 3.48255e-06 0.629405
518 3.84775e-06 3.6106e-06 0.63062
519 3.6733e-06 2.4491e-06 0.631835
520 3.34965e-06 3.9381e-06 0.63305
521 4.6188e-06 5.16965e-06 0.634265
522 3.67215e-06 2.53535e-06 0.63548
523 4.0476e-06 2.5143e-06 0.636695
524 3.2879e-06 3.89495e-06 0.63791
525 3.5941e-06 3.10315e-06 0.639125
526 3.6224e-06 2.97005e-06 0.64034
527 3.5014e-06 2.4275e-06 0.641555
528 3.57805e-06 2.5957e-06 0.64277
529 3.92545e-06 2.43585e-06 0.643985
530 3.43595e-06 2.40005e-06 0.6452
531 3.63785e-06 2.4749e-06 0.646416
532 3.57655e-06 2.57515e-06 0.647631
533 3.7425e-06 3.48865e-06 0.648846
534 3.48075e-06 2.6509e-06 0.650061
535 3.62775e-06 2.9714e-06 0.651276
536 4.0094e-06 3.0233e-06 0.652491
537 3.93795e-06 2.92325e-06 0.653706
538 4.30525e-06 2.84845e-06 0.654921
